Name,NACA 4412
Chord(mm),120
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),20
,
Airfoil surface,
X(mm),Y(mm)
112.816470,-40.895825
107.728282,-37.332679
102.599053,-33.882295
92.217466,-27.319817
81.679918,-21.185840
70.998721,-15.446533
60.153355,-10.158278
49.127403,-5.366182
37.834674,-1.307045
32.052870,0.350405
26.164356,1.714671
20.152714,2.740647
13.981007,3.326848
10.821277,3.416974
7.579462,3.281574
4.210416,2.796609
2.410974,2.238390
0.000000,0.000000
0.822632,-2.125543
2.018751,-3.224941
4.616200,-4.859922
7.332671,-6.167891
10.102498,-7.329267
15.732446,-9.403940
21.428061,-11.298193
27.164718,-13.079682
32.901376,-14.861172
44.366482,-18.446703
55.806963,-22.099892
67.247445,-25.753081
78.667404,-29.462652
90.050426,-33.273710
101.396510,-37.186254
107.059291,-39.170717
112.709759,-41.189009
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
1.616803,0.056424
3.114583,-0.214166
6.097831,-0.789174
9.076974,-1.375458
12.041753,-2.001210
17.942580,-3.331647
23.796208,-4.791761
29.608794,-6.364639
35.368025,-8.084108
46.746942,-11.906442
57.980159,-16.129085
69.123083,-20.599807
80.173661,-25.324246
91.133946,-30.296764
101.997781,-35.534275
107.393787,-38.251698
112.763114,-41.042417
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
112.763114,-41.042417
